Product_ID,Category,Brand,Price_Tier,Unit_Price,Cost_Price
82,Home & Garden,EcoLife,Premium,396.35,237.81
83,Electronics,TechPro,Premium,1223.13,917.35
84,Toys,BookWorld,Mid-Range,126.89,69.79
85,Home & Garden,HomeEssentials,Premium,344.91,206.95
86,Beauty,BeautyMax,Mid-Range,110.16,44.06
87,Home & Garden,ValueBrand,Mid-Range,125.59,75.35
88,Fashion,EcoLife,Mid-Range,125.58,62.79
89,Sports,BeautyMax,Mid-Range,176.38,114.65
90,Electronics,PlayTime,Premium,391.54,293.66
91,Sports,ValueBrand,Premium,207.59,134.93
92,Beauty,ValueBrand,Mid-Range,72.57,29.03
93,Beauty,PlayTime,Mid-Range,148.67,59.47
94,Beauty,ValueBrand,Mid-Range,132.67,53.07
95,Toys,PlayTime,Mid-Range,103.6,56.98
96,Fashion,StyleCo,Mid-Range,178.16,89.08
97,Home & Garden,FitLife,Mid-Range,87.43,52.46
98,Home & Garden,EcoLife,Premium,304.52,182.71
99,Home & Garden,BeautyMax,Premium,316.66,190.0
100,Toys,PremiumChoice,Mid-Range,68.84,37.86
101,Home & Garden,TechPro,Mid-Range,117.54,70.52
102,Sports,BeautyMax,Mid-Range,76.64,49.82
103,Home & Garden,HomeEssentials,Mid-Range,191.49,114.89
104,Sports,StyleCo,Premium,235.27,152.93
105,Electronics,BeautyMax,Premium,922.28,691.71
106,Sports,HomeEssentials,Premium,335.21,217.89
107,Beauty,TechPro,Mid-Range,79.16,31.66
108,Sports,StyleCo,Mid-Range,144.1,93.67
109,Toys,EcoLife,Mid-Range,128.52,70.69
110,Electronics,PlayTime,Premium,1400.79,1050.59
111,Toys,PremiumChoice,Economy,16.35,8.99
112,Beauty,ValueBrand,Economy,37.73,15.09
113,Electronics,PlayTime,Premium,381.16,285.87
114,Beauty,EcoLife,Mid-Range,143.2,57.28
115,Books,TechPro,Economy,14.61,8.77
116,Beauty,BookWorld,Mid-Range,103.04,41.22
117,Beauty,PremiumChoice,Mid-Range,81.8,32.72
118,Electronics,PremiumChoice,Premium,1341.44,1006.08
119,Home & Garden,FitLife,Economy,43.82,26.29
120,Beauty,EcoLife,Mid-Range,103.3,41.32
121,Fashion,EcoLife,Premium,254.65,127.33
122,Books,BookWorld,Economy,16.93,10.16
123,Sports,PremiumChoice,Premium,388.15,252.3
124,Toys,PremiumChoice,Mid-Range,128.21,70.52
125,Books,PlayTime,Economy,40.86,24.52
126,Toys,PremiumChoice,Mid-Range,60.29,33.16
127,Toys,ValueBrand,Mid-Range,104.24,57.33
128,Sports,PlayTime,Mid-Range,92.99,60.44
129,Books,ValueBrand,Economy,27.59,16.55
130,Sports,FitLife,Mid-Range,51.25,33.31
131,Toys,ValueBrand,Mid-Range,56.9,31.3
132,Sports,ValueBrand,Mid-Range,102.86,66.86
133,Electronics,FitLife,Premium,400.6,300.45
134,Fashion,PlayTime,Premium,228.38,114.19
135,Fashion,EcoLife,Mid-Range,104.85,52.42
136,Beauty,TechPro,Mid-Range,71.89,28.76
137,Beauty,PlayTime,Economy,49.14,19.66
138,Home & Garden,BeautyMax,Premium,410.31,246.19
139,Beauty,TechPro,Mid-Range,80.68,32.27
140,Toys,PlayTime,Mid-Range,72.87,40.08
141,Home & Garden,FitLife,Mid-Range,156.44,93.86
142,Toys,EcoLife,Mid-Range,62.49,34.37
143,Books,StyleCo,Economy,23.46,14.08
144,Fashion,PremiumChoice,Mid-Range,50.5,25.25
145,Sports,ValueBrand,Mid-Range,88.9,57.79
146,Books,StyleCo,Economy,11.26,6.76
147,Books,ValueBrand,Economy,17.07,10.24
148,Beauty,BeautyMax,Economy,48.69,19.48
149,Beauty,TechPro,Economy,37.08,14.83
150,Electronics,EcoLife,Premium,1195.29,896.47
151,Fashion,BookWorld,Premium,250.39,125.19
152,Fashion,BookWorld,Premium,260.38,130.19
153,Electronics,BookWorld,Premium,468.81,351.61
154,Sports,EcoLife,Premium,221.74,144.13
155,Sports,TechPro,Premium,249.5,162.18
156,Electronics,FitLife,Premium,921.61,691.21
157,Fashion,BookWorld,Economy,45.05,22.52
158,Fashion,TechPro,Premium,245.72,122.86
159,Home & Garden,StyleCo,Premium,449.4,269.64
160,Home & Garden,BookWorld,Premium,329.51,197.71
161,Beauty,HomeEssentials,Mid-Range,108.08,43.23
162,Sports,PlayTime,Mid-Range,183.68,119.39
163,Toys,HomeEssentials,Economy,32.24,17.73
164,Sports,EcoLife,Mid-Range,193.4,125.71
165,Books,FitLife,Economy,44.0,26.4
166,Fashion,BookWorld,Mid-Range,86.93,43.47
167,Sports,EcoLife,Premium,376.99,245.04
168,Home & Garden,TechPro,Premium,455.12,273.07
169,Electronics,BeautyMax,Premium,849.55,637.16
170,Toys,PlayTime,Mid-Range,74.29,40.86
171,Sports,HomeEssentials,Mid-Range,56.49,36.72
172,Beauty,BookWorld,Mid-Range,128.57,51.43
173,Electronics,BeautyMax,Premium,1110.47,832.85
174,Electronics,StyleCo,Mid-Range,70.14,52.61
175,Beauty,PremiumChoice,Mid-Range,56.43,22.57
176,Fashion,PlayTime,Premium,207.14,103.57
177,Home & Garden,FitLife,Premium,418.4,251.04
178,Home & Garden,PlayTime,Premium,328.23,196.94
179,Home & Garden,BookWorld,Premium,359.54,215.72
180,Home & Garden,StyleCo,Premium,231.86,139.12
181,Fashion,TechPro,Premium,249.1,124.55
182,Fashion,ValueBrand,Premium,233.04,116.52
183,Home & Garden,PlayTime,Premium,376.59,225.95
184,Sports,PlayTime,Premium,278.28,180.88
185,Home & Garden,TechPro,Mid-Range,172.28,103.37
186,Electronics,ValueBrand,Premium,1315.4,986.55
187,Beauty,ValueBrand,Economy,38.34,15.34
188,Beauty,BeautyMax,Economy,30.46,12.18
189,Books,BookWorld,Economy,18.41,11.05
190,Fashion,BeautyMax,Mid-Range,115.1,57.55
191,Toys,PlayTime,Economy,48.33,26.58
192,Fashion,ValueBrand,Premium,252.23,126.11
193,Books,TechPro,Economy,44.54,26.72
194,Sports,ValueBrand,Premium,285.09,185.31
195,Electronics,FitLife,Premium,1261.75,946.31
196,Toys,ValueBrand,Mid-Range,192.11,105.66
197,Home & Garden,PremiumChoice,Premium,485.35,291.21
198,Toys,StyleCo,Mid-Range,76.62,42.14
199,Fashion,BeautyMax,Premium,226.91,113.45
200,Toys,BeautyMax,Economy,23.02,12.66
201,Beauty,BookWorld,Economy,26.91,10.76
202,Electronics,ValueBrand,Premium,592.74,444.56
203,Fashion,TechPro,Premium,207.57,103.78
204,Toys,BookWorld,Mid-Range,78.97,43.43
205,Toys,BookWorld,Mid-Range,64.85,35.67
206,Electronics,PlayTime,Premium,240.15,180.11
207,Beauty,PlayTime,Economy,18.12,7.25
208,Electronics,BookWorld,Mid-Range,188.78,141.59
209,Toys,FitLife,Mid-Range,124.5,68.48
210,Books,BookWorld,Economy,27.59,16.55
211,Fashion,FitLife,Premium,241.39,120.69
212,Electronics,BeautyMax,Premium,507.61,380.71
213,Sports,EcoLife,Mid-Range,141.02,91.66
214,Toys,HomeEssentials,Mid-Range,61.3,33.72
215,Beauty,BookWorld,Economy,17.22,6.89
216,Home & Garden,TechPro,Premium,346.2,207.72
217,Beauty,FitLife,Mid-Range,148.63,59.45
218,Electronics,TechPro,Premium,883.74,662.81
219,Sports,FitLife,Premium,235.08,152.8
220,Electronics,BookWorld,Premium,1326.75,995.06
221,Books,TechPro,Economy,17.56,10.54
222,Toys,BeautyMax,Economy,22.02,12.11
223,Books,FitLife,Economy,39.25,23.55
224,Fashion,HomeEssentials,Premium,228.88,114.44
225,Sports,BookWorld,Mid-Range,78.32,50.91
226,Books,BookWorld,Economy,24.57,14.74
227,Books,PlayTime,Economy,23.85,14.31
228,Toys,ValueBrand,Economy,42.32,23.28
229,Home & Garden,BookWorld,Premium,315.29,189.17
230,Sports,PremiumChoice,Premium,323.75,210.44
231,Beauty,FitLife,Mid-Range,108.34,43.34
232,Beauty,EcoLife,Economy,47.8,19.12
233,Toys,StyleCo,Mid-Range,68.52,37.69
234,Electronics,BookWorld,Premium,888.61,666.46
235,Electronics,ValueBrand,Premium,1458.08,1093.56
236,Beauty,PremiumChoice,Mid-Range,62.72,25.09
237,Beauty,HomeEssentials,Mid-Range,74.39,29.76
238,Toys,TechPro,Mid-Range,177.93,97.86
239,Books,BookWorld,Economy,43.86,26.32
240,Sports,ValueBrand,Mid-Range,92.54,60.15
241,Fashion,ValueBrand,Mid-Range,189.12,94.56
242,Fashion,StyleCo,Economy,23.39,11.7
243,Beauty,PlayTime,Mid-Range,96.34,38.54
244,Toys,EcoLife,Mid-Range,81.85,45.02
245,Toys,ValueBrand,Mid-Range,156.87,86.28
246,Home & Garden,TechPro,Premium,219.98,131.99
247,Toys,BeautyMax,Mid-Range,98.41,54.13
248,Home & Garden,HomeEssentials,Premium,438.48,263.09
249,Books,PlayTime,Economy,22.78,13.67
250,Books,FitLife,Economy,28.71,17.23
251,Fashion,ValueBrand,Mid-Range,145.3,72.65
252,Toys,PremiumChoice,Mid-Range,133.19,73.25
253,Home & Garden,BookWorld,Premium,274.59,164.75
254,Electronics,ValueBrand,Premium,1202.27,901.7
255,Toys,HomeEssentials,Economy,20.89,11.49
256,Electronics,HomeEssentials,Premium,754.17,565.63
257,Electronics,EcoLife,Premium,415.52,311.64
258,Electronics,BeautyMax,Premium,1335.67,1001.75
259,Fashion,PlayTime,Mid-Range,182.68,91.34
260,Toys,ValueBrand,Mid-Range,63.04,34.67
261,Home & Garden,PremiumChoice,Premium,255.6,153.36
262,Fashion,TechPro,Mid-Range,191.89,95.94
263,Fashion,BeautyMax,Mid-Range,103.4,51.7
264,Toys,BeautyMax,Mid-Range,180.78,99.43
265,Electronics,FitLife,Premium,1039.0,779.25
266,Books,PremiumChoice,Economy,14.05,8.43
267,Electronics,EcoLife,Premium,1367.94,1025.95
268,Books,StyleCo,Economy,36.91,22.15
269,Electronics,FitLife,Premium,312.27,234.2
270,Toys,HomeEssentials,Mid-Range,88.55,48.7
271,Beauty,StyleCo,Mid-Range,106.95,42.78
272,Books,BeautyMax,Economy,25.79,15.47
273,Fashion,StyleCo,Premium,270.1,135.05
274,Books,PlayTime,Economy,41.07,24.64
275,Sports,BeautyMax,Premium,273.36,177.68
276,Sports,TechPro,Economy,49.86,32.41
277,Sports,FitLife,Premium,285.39,185.5
278,Home & Garden,BookWorld,Mid-Range,115.99,69.59
279,Sports,TechPro,Mid-Range,162.5,105.62
280,Beauty,FitLife,Economy,48.48,19.39
281,Electronics,StyleCo,Premium,994.56,745.92
282,Books,ValueBrand,Economy,25.45,15.27
283,Fashion,BookWorld,Mid-Range,69.97,34.98
284,Fashion,TechPro,Premium,296.97,148.49
285,Electronics,PremiumChoice,Premium,1266.73,950.05
286,Home & Garden,PlayTime,Mid-Range,62.65,37.59
287,Sports,BeautyMax,Premium,291.75,189.64
288,Fashion,ValueBrand,Premium,285.83,142.91
289,Sports,BeautyMax,Economy,34.08,22.15
290,Fashion,FitLife,Mid-Range,175.74,87.87
291,Electronics,HomeEssentials,Premium,626.84,470.13
292,Fashion,BeautyMax,Mid-Range,56.6,28.3
293,Sports,BeautyMax,Premium,338.79,220.21
294,Home & Garden,TechPro,Premium,252.87,151.72
295,Sports,PlayTime,Economy,43.09,28.01
296,Electronics,FitLife,Premium,673.59,505.19
297,Sports,ValueBrand,Premium,365.46,237.55
298,Beauty,HomeEssentials,Mid-Range,134.55,53.82
299,Electronics,ValueBrand,Premium,420.67,315.5
300,Electronics,PremiumChoice,Mid-Range,107.06,80.3
301,Fashion,TechPro,Premium,245.77,122.89
302,Beauty,PremiumChoice,Mid-Range,104.19,41.68
303,Beauty,ValueBrand,Mid-Range,124.34,49.74
304,Books,StyleCo,Economy,11.86,7.12
305,Books,TechPro,Economy,13.8,8.28
306,Books,PlayTime,Economy,23.79,14.27
307,Home & Garden,PlayTime,Premium,248.53,149.12
308,Books,BookWorld,Economy,23.24,13.94
309,Sports,PremiumChoice,Premium,308.63,200.61
310,Beauty,FitLife,Economy,17.87,7.15
311,Toys,PlayTime,Mid-Range,150.33,82.68
312,Books,BookWorld,Economy,28.45,17.07
313,Books,BeautyMax,Economy,33.56,20.14
314,Toys,EcoLife,Mid-Range,105.5,58.03
315,Electronics,TechPro,Premium,1258.51,943.88
316,Toys,EcoLife,Mid-Range,122.88,67.58
317,Books,FitLife,Economy,34.75,20.85
318,Books,PremiumChoice,Economy,42.98,25.79
319,Beauty,PlayTime,Mid-Range,53.12,21.25
320,Home & Garden,TechPro,Mid-Range,106.25,63.75
321,Beauty,BookWorld,Economy,15.6,6.24
322,Toys,BeautyMax,Mid-Range,54.59,30.02
323,Fashion,EcoLife,Economy,26.95,13.47
324,Toys,TechPro,Mid-Range,115.75,63.66
325,Toys,TechPro,Mid-Range,100.66,55.36
326,Electronics,PlayTime,Mid-Range,84.01,63.01
327,Toys,BookWorld,Mid-Range,101.69,55.93
328,Home & Garden,FitLife,Premium,239.94,143.96
329,Toys,EcoLife,Mid-Range,146.15,80.38
330,Sports,StyleCo,Premium,326.85,212.45
331,Sports,HomeEssentials,Mid-Range,104.06,67.64
332,Home & Garden,PremiumChoice,Mid-Range,67.91,40.75
333,Toys,FitLife,Mid-Range,166.44,91.54
334,Electronics,BookWorld,Premium,329.07,246.8
335,Beauty,PremiumChoice,Economy,37.12,14.85
336,Toys,PlayTime,Mid-Range,192.2,105.71
337,Fashion,TechPro,Premium,211.84,105.92
338,Beauty,TechPro,Mid-Range,118.5,47.4
339,Toys,BeautyMax,Mid-Range,190.01,104.51
340,Beauty,TechPro,Mid-Range,140.99,56.4
341,Beauty,ValueBrand,Mid-Range,135.02,54.01
342,Books,StyleCo,Economy,27.17,16.3
343,Electronics,BookWorld,Premium,291.09,218.32
344,Beauty,BeautyMax,Economy,17.79,7.12
345,Books,TechPro,Economy,45.19,27.11
346,Sports,PremiumChoice,Premium,393.09,255.51
347,Sports,StyleCo,Mid-Range,72.58,47.18
348,Fashion,PlayTime,Mid-Range,144.66,72.33
349,Beauty,EcoLife,Economy,29.27,11.71
350,Beauty,PremiumChoice,Mid-Range,136.5,54.6
351,Sports,FitLife,Premium,362.61,235.7
352,Home & Garden,BookWorld,Mid-Range,90.49,54.29
353,Fashion,PremiumChoice,Premium,280.99,140.5
354,Fashion,PremiumChoice,Premium,251.87,125.94
355,Electronics,PremiumChoice,Mid-Range,155.4,116.55
356,Toys,PlayTime,Economy,16.22,8.92
357,Beauty,PlayTime,Mid-Range,70.4,28.16
358,Home & Garden,BeautyMax,Premium,227.02,136.21
359,Electronics,FitLife,Premium,471.7,353.77
360,Home & Garden,BeautyMax,Premium,441.19,264.71
361,Sports,BookWorld,Premium,230.97,150.13
362,Fashion,BeautyMax,Mid-Range,198.02,99.01
363,Fashion,BookWorld,Mid-Range,115.98,57.99
364,Sports,PlayTime,Mid-Range,191.6,124.54
365,Beauty,EcoLife,Mid-Range,93.7,37.48
366,Books,PremiumChoice,Economy,37.79,22.67
367,Toys,EcoLife,Mid-Range,154.38,84.91
368,Home & Garden,PlayTime,Mid-Range,71.57,42.94
369,Electronics,HomeEssentials,Premium,375.6,281.7
370,Books,PremiumChoice,Economy,36.03,21.62
371,Books,StyleCo,Economy,43.15,25.89
372,Home & Garden,TechPro,Premium,347.89,208.73
373,Beauty,TechPro,Mid-Range,62.65,25.06
374,Books,StyleCo,Economy,27.6,16.56
375,Home & Garden,StyleCo,Premium,332.74,199.64
376,Beauty,PlayTime,Mid-Range,97.34,38.94
377,Books,FitLife,Economy,36.7,22.02
378,Fashion,BeautyMax,Mid-Range,82.61,41.3
379,Sports,HomeEssentials,Premium,366.58,238.28
380,Home & Garden,PlayTime,Premium,367.33,220.4
381,Electronics,BookWorld,Premium,1067.93,800.95
382,Books,EcoLife,Economy,48.58,29.15
383,Books,FitLife,Economy,23.78,14.27
384,Fashion,ValueBrand,Premium,245.22,122.61
385,Toys,PlayTime,Mid-Range,68.87,37.88
386,Fashion,EcoLife,Premium,278.74,139.37
387,Books,TechPro,Economy,48.89,29.33
388,Sports,ValueBrand,Mid-Range,94.44,61.39
389,Electronics,PlayTime,Premium,515.32,386.49
390,Sports,FitLife,Economy,45.09,29.31
391,Electronics,EcoLife,Premium,1457.05,1092.79
392,Beauty,StyleCo,Economy,22.83,9.13
393,Books,BeautyMax,Economy,30.88,18.53
394,Fashion,EcoLife,Mid-Range,96.75,48.38
395,Fashion,BookWorld,Mid-Range,134.08,67.04
396,Sports,ValueBrand,Premium,222.79,144.81
397,Sports,FitLife,Mid-Range,191.1,124.22
398,Home & Garden,BeautyMax,Premium,259.0,155.4
399,Books,PlayTime,Economy,20.42,12.25
400,Sports,StyleCo,Mid-Range,170.37,110.74
401,Toys,BeautyMax,Mid-Range,114.3,62.87
402,Fashion,PlayTime,Economy,25.77,12.88
403,Home & Garden,HomeEssentials,Premium,264.89,158.93
404,Beauty,HomeEssentials,Mid-Range,101.44,40.58
405,Sports,BeautyMax,Premium,223.1,145.02
406,Beauty,EcoLife,Mid-Range,80.21,32.08
407,Books,HomeEssentials,Economy,47.99,28.79
408,Beauty,StyleCo,Mid-Range,129.55,51.82
409,Sports,ValueBrand,Premium,277.01,180.06
410,Books,ValueBrand,Economy,33.57,20.14
411,Home & Garden,ValueBrand,Mid-Range,193.77,116.26
412,Toys,HomeEssentials,Economy,43.56,23.96
413,Sports,FitLife,Premium,203.79,132.46
414,Fashion,HomeEssentials,Economy,48.58,24.29
415,Home & Garden,HomeEssentials,Premium,274.97,164.98
416,Books,ValueBrand,Economy,40.74,24.44
417,Sports,PlayTime,Mid-Range,172.51,112.13
418,Fashion,BeautyMax,Mid-Range,94.47,47.23
419,Toys,PremiumChoice,Economy,34.29,18.86
420,Toys,BeautyMax,Mid-Range,152.32,83.78
421,Sports,HomeEssentials,Mid-Range,184.5,119.92
422,Toys,BeautyMax,Mid-Range,157.29,86.51
423,Sports,PlayTime,Premium,341.8,222.17
424,Beauty,StyleCo,Mid-Range,122.77,49.11
425,Sports,StyleCo,Premium,247.27,160.73
426,Sports,PremiumChoice,Mid-Range,164.01,106.61
427,Electronics,HomeEssentials,Premium,408.93,306.7
428,Books,BookWorld,Economy,32.13,19.28
429,Home & Garden,TechPro,Premium,331.93,199.16
430,Books,BookWorld,Economy,35.05,21.03
431,Electronics,BookWorld,Premium,957.14,717.86
432,Toys,BeautyMax,Mid-Range,178.65,98.26
433,Books,ValueBrand,Economy,23.3,13.98
434,Electronics,PlayTime,Premium,752.81,564.61
435,Home & Garden,ValueBrand,Premium,281.3,168.78
436,Home & Garden,ValueBrand,Mid-Range,84.06,50.44
437,Books,HomeEssentials,Economy,19.99,11.99
438,Sports,PremiumChoice,Mid-Range,188.39,122.45
439,Beauty,FitLife,Mid-Range,119.36,47.74
440,Home & Garden,ValueBrand,Premium,315.12,189.07
441,Fashion,HomeEssentials,Mid-Range,198.42,99.21
442,Home & Garden,BeautyMax,Premium,200.28,120.17
443,Toys,ValueBrand,Mid-Range,191.39,105.26
444,Beauty,TechPro,Economy,31.02,12.41
445,Books,BookWorld,Economy,17.56,10.54
446,Toys,StyleCo,Mid-Range,60.94,33.52
447,Sports,BookWorld,Mid-Range,183.97,119.58
448,Home & Garden,BeautyMax,Premium,221.47,132.88
449,Electronics,EcoLife,Mid-Range,199.64,149.73
450,Books,StyleCo,Economy,14.37,8.62
451,Home & Garden,PremiumChoice,Premium,346.58,207.95
452,Toys,StyleCo,Mid-Range,56.14,30.88
453,Books,EcoLife,Economy,16.78,10.07
454,Beauty,FitLife,Mid-Range,125.61,50.24
455,Toys,BeautyMax,Mid-Range,72.98,40.14
456,Home & Garden,TechPro,Premium,293.23,175.94
457,Books,PremiumChoice,Economy,13.96,8.38
458,Sports,PremiumChoice,Mid-Range,52.56,34.16
459,Sports,BookWorld,Premium,286.49,186.22
460,Sports,BookWorld,Premium,267.69,174.0
461,Fashion,EcoLife,Premium,251.72,125.86
462,Electronics,StyleCo,Premium,1257.94,943.46
463,Books,BeautyMax,Economy,28.04,16.82
464,Sports,BeautyMax,Premium,238.72,155.17
465,Electronics,TechPro,Premium,1372.61,1029.46
466,Books,ValueBrand,Economy,17.69,10.61
467,Beauty,HomeEssentials,Mid-Range,114.04,45.62
468,Beauty,PlayTime,Mid-Range,100.75,40.3
469,Home & Garden,EcoLife,Premium,419.22,251.53
470,Beauty,BookWorld,Mid-Range,118.12,47.25
471,Beauty,TechPro,Mid-Range,116.09,46.44
472,Fashion,FitLife,Premium,214.47,107.23
473,Sports,BookWorld,Mid-Range,182.79,118.81
474,Fashion,BookWorld,Premium,250.0,125.0
475,Beauty,HomeEssentials,Mid-Range,76.11,30.44
476,Beauty,HomeEssentials,Economy,16.92,6.77
477,Fashion,PlayTime,Mid-Range,174.04,87.02
478,Home & Garden,PlayTime,Premium,227.3,136.38
479,Electronics,ValueBrand,Premium,1481.94,1111.45
480,Electronics,ValueBrand,Premium,579.33,434.5
481,Electronics,StyleCo,Premium,1020.23,765.17
482,Toys,ValueBrand,Mid-Range,112.25,61.74
483,Beauty,FitLife,Economy,16.82,6.73
484,Electronics,FitLife,Mid-Range,50.67,38.0
485,Sports,ValueBrand,Premium,226.78,147.41
486,Sports,PremiumChoice,Premium,349.48,227.16
487,Books,HomeEssentials,Economy,16.41,9.85
488,Electronics,FitLife,Premium,1367.11,1025.33
489,Electronics,TechPro,Premium,708.74,531.56
490,Toys,PlayTime,Mid-Range,115.34,63.44
491,Beauty,HomeEssentials,Mid-Range,114.62,45.85
492,Fashion,EcoLife,Premium,264.47,132.24
493,Sports,PlayTime,Mid-Range,166.92,108.5
494,Fashion,BeautyMax,Mid-Range,51.6,25.8
495,Electronics,StyleCo,Premium,555.18,416.38
496,Beauty,TechPro,Mid-Range,148.94,59.58
497,Sports,HomeEssentials,Economy,25.98,16.89
498,Sports,EcoLife,Premium,300.2,195.13
499,Books,EcoLife,Economy,16.67,10.0
500,Home & Garden,HomeEssentials,Premium,428.98,257.39
